Entity,Activity Diagram,Use Case Diagram,Timing Diagram,State Machine Diagram,Interaction Overview Diagram,Communication Diagram,Sequence Diagram,Class Diagram,Object Diagram,Component Diagram,Composite Structure Diagram,Deployment Diagram,Package Diagram,Profile Diagram,Process Diagram,Decision Requirement Diagram,Case Diagram
Business Knowledge Models,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
Decision,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,1
Information Requirement,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1
Input Data,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1
Knowledge Requirement,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
Knowledge Source,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
Artifacts,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1
Case,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Case File Items,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Case Plan Models,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Connectors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Decorators,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Entry and Exit Criterion,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
EventListeners,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Milestones,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Plan Fragments,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Planning Table,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Stages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Tasks,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Tasks_Case Task,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Tasks_Human Task,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Tasks_Process Task,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
